"age","area_percentage","height_percentage","land_surface_condition","foundation_type","roof_type","count_families","has_secondary_use","Damage"
25,3,2,"t","r","n",1,0,1
50,6,5,"t","r","q",1,0,1
10,6,2,"t","w","n",1,0,1
15,7,4,"t","w","n",1,1,1
15,4,4,"t","r","n",1,0,1
20,14,5,"t","u","q",1,0,1
20,3,4,"t","r","n",1,0,0
20,3,5,"n","r","n",0,0,1
20,7,5,"t","r","n",1,0,1
25,12,8,"t","r","n",1,0,1
5,5,5,"t","h","q",1,0,1
15,4,4,"t","r","n",1,0,1
15,42,3,"t","u","x",1,0,1
10,13,5,"o","r","n",1,0,0
15,10,5,"n","r","n",1,0,1
50,5,3,"t","r","n",1,0,1
30,5,5,"t","r","n",1,0,1
20,6,4,"t","r","q",2,0,1
25,10,8,"n","r","n",1,0,1
15,7,6,"t","r","q",1,0,1
15,8,7,"n","r","n",1,0,1
80,9,6,"t","r","q",2,0,1
35,7,6,"t","r","n",1,0,1
0,7,6,"t","r","q",2,0,1
30,13,5,"t","r","n",1,0,1
50,7,5,"t","r","n",1,0,1
45,8,5,"t","r","q",1,1,1
0,8,5,"t","r","n",1,0,1
25,4,5,"t","r","n",1,0,1
5,6,3,"t","u","n",1,0,1
5,11,3,"t","u","n",1,0,0
0,8,5,"t","r","n",1,0,1
45,5,5,"t","r","n",0,0,1
40,6,4,"n","r","n",1,0,1
10,9,6,"t","r","n",1,0,0
5,9,9,"t","i","x",0,1,1
10,5,5,"t","r","n",1,1,1
10,10,7,"t","r","q",1,0,1
10,9,5,"t","r","n",1,0,1
0,3,3,"t","r","n",1,0,1
10,2,6,"n","r","n",1,0,1
15,7,7,"t","r","n",1,0,1
0,3,3,"t","u","n",1,0,0
5,9,5,"t","r","n",1,0,1
20,6,5,"t","r","n",1,0,1
5,8,6,"n","r","n",1,0,1
10,4,7,"n","r","n",1,0,1
40,11,8,"t","r","n",3,0,1
5,9,5,"t","w","q",1,0,0
25,6,5,"o","r","q",1,1,1
5,10,6,"t","r","n",1,0,1
5,18,10,"n","i","x",0,0,0
50,16,8,"t","r","n",1,0,1
