"UrbanRural","NewExist","Term","NoEmp","GrAppv","SBA_Appv","DisbursementGross","Default"
0,2,60,2,28000,25200,28000,FALSE
0,1,288,15,202305,171959,202305,FALSE
1,1,300,3,121000,102850,121000,FALSE
1,1,240,11,425000,425000,158000,FALSE
1,1,240,14,1149000,1149000,1149000,FALSE
1,1,47,5,35000,35000,35000,TRUE
1,1,84,6,35000,17500,35000,FALSE
1,1,60,14,100000,50000,100000,TRUE
2,1,84,5,108000,81000,108000,FALSE
1,1,84,3,55000,46750,55000,FALSE
0,1,240,9,45000,36000,45000,FALSE
1,1,5,4,35800,17900,96513,TRUE
0,1,202,15,550000,467500,550000,FALSE
0,1,180,1,40000,36000,40000,FALSE
0,2,120,6,50000,40000,50000,FALSE
1,2,84,1,10000,5000,20125,FALSE
1,2,60,2,50000,25000,154700,FALSE
1,2,60,6,80000,40000,80000,FALSE
1,1,61,3,30000,15000,30000,TRUE
1,1,26,1,10000,8500,10000,TRUE
1,1,84,35,200000,150000,200000,FALSE
2,1,10,25,290000,217500,290000,FALSE
1,1,12,1,100000,50000,146500,FALSE
0,2,60,3,25000,22500,25000,FALSE
0,2,273,2,270400,202800,270400,TRUE
0,1,300,10,260000,195000,260000,FALSE
1,1,58,6,50000,25000,99300,TRUE
1,2,108,3,148000,74000,148000,TRUE
1,2,84,1,25000,12500,25000,FALSE
1,2,111,3,204000,153000,204000,FALSE
0,1,240,36,510000,510000,510000,FALSE
0,1,120,2,80000,64000,80000,FALSE
0,1,84,11,47000,35250,47000,FALSE
1,1,84,8,30000,15000,76099,FALSE
2,1,60,5,225000,112500,225000,FALSE
1,1,96,12,189500,142125,189500,TRUE
1,1,84,2,20000,10000,20000,FALSE
0,2,36,5,150000,112500,150000,FALSE
0,1,120,4,145000,108750,145000,FALSE
1,1,84,1,25000,12500,26417,FALSE
0,1,60,14,300000,240000,300000,FALSE
0,1,123,9,229600,172200,229600,FALSE
1,1,84,1,35000,17500,76009,FALSE
1,1,31,1,50000,25000,128443,TRUE
0,1,300,7,156100,117075,156100,FALSE
1,1,60,17,254700,127350,254700,FALSE
1,2,126,1,500000,375000,500000,TRUE
1,2,120,5,150000,127500,150000,FALSE
0,1,252,10,600000,450000,600000,FALSE
1,1,22,12,5000,2500,14854,TRUE
2,2,154,6,453400,340050,453400,TRUE
1,2,63,2,50000,40000,50000,FALSE
0,1,60,14,130000,117000,130000,FALSE
1,1,21,3,10000,5000,12000,TRUE
1,1,76,3,34512,34512,34512,FALSE
1,1,84,4,35000,17500,45000,FALSE
1,1,84,6,635000,476250,635000,TRUE
0,1,180,3,165000,102300,165000,FALSE
0,1,240,17,496000,496000,496000,FALSE
0,1,120,10,155000,131750,155000,FALSE
0,2,180,1,272000,204000,272000,FALSE
0,1,84,10,50000,45000,50000,FALSE
0,1,84,6,105000,94500,105000,FALSE
0,1,12,5,200000,150000,200000,FALSE
1,2,84,1,70000,63000,70000,FALSE
0,1,33,1,5000,4250,5000,TRUE
1,1,81,10,25000,12500,25000,FALSE
1,1,84,4,5000,2500,5000,FALSE
1,2,120,1,800000,600000,800000,FALSE
1,1,3,29,300000,270000,300000,FALSE
1,2,120,1,10000,8500,10000,FALSE
1,1,60,10,40000,20000,40000,FALSE
0,2,84,5,100000,90000,100000,FALSE
1,2,60,12,100000,85000,100000,FALSE
0,1,60,9,60000,54000,60000,FALSE
2,2,300,3,335000,251250,335000,FALSE
2,2,120,1,12500,11250,12500,FALSE
1,1,84,6,116000,98600,116000,FALSE
0,1,60,15,435000,348000,435000,FALSE
1,2,164,20,150000,127500,150000,FALSE
1,2,120,1,120000,60000,120000,FALSE
1,1,24,1,25000,12500,49000,FALSE
0,2,84,4,120000,102000,120000,FALSE
0,2,60,15,25000,20000,25000,FALSE
2,1,55,5,32100,32100,32100,TRUE
0,1,84,2,100000,90000,90000,FALSE
0,1,240,37,333000,333000,333000,FALSE
0,1,180,12,380000,285000,380000,FALSE
1,1,31,4,41500,20750,41500,TRUE
0,1,300,1,263500,184450,263500,FALSE
2,1,240,13,257000,192750,257000,FALSE
0,1,300,25,927000,695250,927000,FALSE
1,1,45,1,30000,15000,50849,TRUE
1,2,36,3,15000,12750,15000,FALSE
1,1,56,0,15000,7500,23260,TRUE
0,1,39,23,450000,360000,450000,TRUE
0,1,84,6,30000,27000,30000,FALSE
0,1,240,25,782000,782000,782000,FALSE
0,1,240,12,116000,116000,116000,FALSE
0,1,228,5,110000,97900,110000,FALSE
0,2,12,2,1000000,750000,1000000,FALSE
0,2,84,1,37000,29600,37000,FALSE
0,1,60,8,50000,40000,50000,FALSE
0,2,83,10,96000,86400,96000,FALSE
0,2,228,21,850000,637500,850000,TRUE
0,1,60,8,55000,46750,55000,FALSE
1,1,36,1,30000,15000,30000,FALSE
2,1,84,6,25000,12500,51795,FALSE
1,2,66,0,75000,37500,75000,FALSE
1,1,84,10,200000,150000,200000,FALSE
1,1,240,70,311000,311000,311000,FALSE
2,1,49,3,20000,10000,39950,TRUE
0,1,48,2,10000,5000,10000,FALSE
0,1,300,10,236000,177000,236000,FALSE
1,2,216,2,390000,292500,390000,FALSE
